epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0181,0.4069,0.5739,0.56828,0.97863,0.99925,1,0.995,0.90767,0.99925,1,0.995,0.93828,0.42248,0.48395,0.49821,0.97704,0.0671833,0.000331481,0.000331481
2,61.1362,0.37802,0.45861,0.32054,0.95504,0.99957,1,0.995,0.97062,0.99957,1,0.995,0.99334,0.28345,0.27872,0.28841,0.83651,0.0341778,0.00065933,0.00065933
3,90.1924,0.37458,0.44649,0.29459,0.95833,0.99949,1,0.995,0.97791,0.99949,1,0.995,0.99219,0.26274,0.27298,0.25355,0.83411,0.00116686,0.000981679,0.000981679
4,119.641,0.36678,0.43379,0.27748,0.95685,0.9989,1,0.995,0.97356,0.9989,1,0.995,0.99008,0.28128,0.25434,0.42872,0.84786,0.00097525,0.00097525,0.00097525
5,148.437,0.35159,0.41458,0.25951,0.9465,0.99913,1,0.995,0.98326,0.99913,1,0.995,0.98903,0.23059,0.33146,0.20306,0.79527,0.000967,0.000967,0.000967
6,176.982,0.34988,0.41818,0.25442,0.94866,0.99953,1,0.995,0.98495,0.99953,1,0.995,0.9932,0.23154,0.24491,0.19566,0.79853,0.00095875,0.00095875,0.00095875
7,205.46,0.33776,0.40325,0.23834,0.9466,0.99438,1,0.995,0.98362,0.99438,1,0.995,0.99316,0.23463,0.27289,0.1871,0.80138,0.0009505,0.0009505,0.0009505
8,234.044,0.34733,0.42272,0.24456,0.94792,0.99906,1,0.995,0.98303,0.99906,1,0.995,0.99318,0.236,0.25659,0.22437,0.794,0.00094225,0.00094225,0.00094225
9,262.722,0.33183,0.4056,0.23418,0.94027,1,0.99684,0.995,0.97584,1,0.99684,0.995,0.9916,0.2701,0.26266,0.25536,0.8451,0.000934,0.000934,0.000934
10,291.278,0.33694,0.40754,0.23243,0.9456,0.99882,1,0.995,0.96298,0.99882,1,0.995,0.99258,0.27068,0.24969,0.21846,0.83267,0.00092575,0.00092575,0.00092575
